"Population 1. January by marital status, sex, age and time"

" "," "," ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Total"
" ","Total"
" "," ","61 years",34948,33484,34176,34735,34296,34598,35192,34864,35175,35039,36375,36795
" "," ","62 years",34568,34725,33282,33952,34507,34074,34390,34995,34667,34958,34902,36365
" "," ","63 years",35945,34308,34477,33003,33699,34259,33866,34148,34765,34450,34755,34837
" "," ","64 years",37948,35668,34055,34226,32784,33421,34015,33633,33898,34506,34214,34694
" "," ","65 years",38646,37607,35415,33778,33941,32514,33161,33762,33384,33675,34259,34132
" "," ","66 years",36963,38275,37262,35088,33470,33654,32261,32844,33442,33119,33382,34144
" "," ","67 years",35062,36581,37920,36923,34749,33171,33332,31924,32538,33125,32813,33163
" "," ","68 years",32238,34665,36227,37458,36574,34364,32847,32980,31546,32226,32808,32528
" "," ","69 years",29866,31845,34239,35825,37041,36179,34004,32478,32631,31204,31868,32493
" "," ","70 years",26409,29417,31413,33781,35365,36579,35736,33618,32108,32218,30815,31611
" "," ","71 years",25443,25976,28993,30933,33303,34856,36067,35238,33197,31683,31788,30436
" "," ","72 years",23746,25017,25564,28581,30454,32773,34318,35526,34751,32728,31229,31383
" "," ","73 years",23386,23319,24557,25133,28060,29935,32222,33727,34931,34224,32220,30767
" "," ","74 years",22268,22831,22855,24087,24663,27526,29420,31629,33104,34319,33614,31720
" "," ","75 years",20733,21758,22283,22370,23615,24146,26969,28803,30973,32431,33658,32969
" "," ","76 years",19393,20165,21187,21676,21861,23065,23571,26347,28155,30257,31687,32923
" "," ","77 years",18464,18786,19569,20632,21116,21293,22469,22940,25724,27462,29510,30892
" "," ","78 years",17078,17761,18175,18928,19997,20443,20708,21772,22295,24970,26637,28657
" "," ","79 years",16460,16449,17080,17516,18283,19320,19762,20029,21076,21651,24184,25823
" "," ","80 years",15388,15687,15730,16408,16799,17578,18632,19044,19331,20299,20867,23314
" "," ","81 years",14650,14639,14911,15017,15625,16070,16846,17827,18281,18536,19477,20017
" "," ","82 years",13749,13779,13812,14160,14252,14873,15221,16019,17030,17483,17711,18582
" "," ","83 years",13237,12860,12951,13016,13329,13403,14029,14309,15148,16185,16576,16797
" "," ","84 years",12145,12289,11981,12097,12154,12467,12552,13183,13417,14195,15251,15589
" "," ","85 years",11489,11234,11388,11146,11246,11281,11558,11702,12276,12524,13203,14213
" "," ","86 years",10608,10557,10338,10482,10227,10346,10357,10604,10783,11329,11515,12196
" "," ","87 years",9827,9660,9634,9460,9532,9273,9385,9384,9620,9807,10269,10480
" "," ","88 years",8691,8801,8611,8673,8505,8545,8318,8422,8432,8664,8781,9194
" "," ","89 years",7307,7760,7752,7671,7713,7548,7607,7321,7462,7524,7633,7703
" "," ","90 years",6807,6324,6686,6757,6723,6733,6568,6591,6364,6552,6581,6551
" "," ","91 years",5898,5832,5402,5734,5749,5750,5781,5555,5671,5444,5602,5588
